,support,itemsets
0,0.0678755364806867,frozenset({''})
1,0.19542918454935623,"frozenset({""'Action'""})"
2,0.09251072961373391,"frozenset({""'Adventure'""})"
3,0.03969957081545064,"frozenset({""'Boys Love'""})"
4,0.29952789699570814,"frozenset({""'Comedy'""})"
5,0.17993562231759658,"frozenset({""'Drama'""})"
6,0.07914163090128755,"frozenset({""'Ecchi'""})"
7,0.21302575107296137,"frozenset({""'Fantasy'""})"
8,0.03873390557939914,"frozenset({""'Horror'""})"
9,0.054506437768240344,"frozenset({""'Mystery'""})"
10,0.34581545064377683,"frozenset({""'Romance'""})"
11,0.07182403433476395,"frozenset({""'Sci-Fi'""})"
12,0.11929184549356223,"frozenset({""'Slice of Life'""})"
13,0.13186695278969957,"frozenset({""'Supernatural'""})"
14,0.053390557939914166,"frozenset({""'Adventure'"", ""'Action'""})"
15,0.04407725321888412,"frozenset({""'Comedy'"", ""'Action'""})"
16,0.03311158798283262,"frozenset({""'Drama'"", ""'Action'""})"
17,0.08100858369098712,"frozenset({""'Fantasy'"", ""'Action'""})"
18,0.035708154506437766,"frozenset({""'Action'"", ""'Sci-Fi'""})"
19,0.0396137339055794,"frozenset({""'Supernatural'"", ""'Action'""})"
20,0.06051502145922747,"frozenset({""'Fantasy'"", ""'Adventure'""})"
21,0.046137339055793994,"frozenset({""'Comedy'"", ""'Ecchi'""})"
22,0.05684549356223176,"frozenset({""'Comedy'"", ""'Fantasy'""})"
23,0.11658798283261802,"frozenset({""'Comedy'"", ""'Romance'""})"
24,0.05568669527896996,"frozenset({""'Comedy'"", ""'Slice of Life'""})"
25,0.03976394849785408,"frozenset({""'Comedy'"", ""'Supernatural'""})"
26,0.07111587982832618,"frozenset({""'Drama'"", ""'Romance'""})"
27,0.0344206008583691,"frozenset({""'Ecchi'"", ""'Romance'""})"
28,0.05399141630901288,"frozenset({""'Fantasy'"", ""'Romance'""})"
29,0.03094420600858369,"frozenset({""'Fantasy'"", ""'Supernatural'""})"
30,0.03298283261802575,"frozenset({""'Romance'"", ""'Slice of Life'""})"
31,0.03611587982832618,"frozenset({""'Supernatural'"", ""'Romance'""})"
32,0.0357725321888412,"frozenset({""'Fantasy'"", ""'Adventure'"", ""'Action'""})"
